Question,1,2,3,4,5,6,7,8,9,10,,correct.selected
Professional,,,,4,,6,,8,,10,,4
Professional,1,2,,4,5,6,7,8,,,,4
Professional,,,,,,6,,8,,,,2
Professional,,,,,,,,,,,,0
Professional,,2,3,,,6,,,,10,,3
Professional,1,2,3,,5,6,7,,9,10,,4
Professional,1,,,,,6,,,9,,,2
Professional,1,2,,,,,,,9,,,2
Professional,,,,4,,,7,8,,,,2
Professional,,,,4,,6,,8,9,,,4
Professional,,,,4,,,,,,,,1
Professional,,,,4,,6,,,,,,2
Professional,1,2,3,4,5,6,,8,,,,4
Professional,,,,,,6,,8,,10,,3
Professional,1,2,,4,,6,,8,,,,4
Professional,,,,,,6,,8,,,,2
Professional,,,,,,6,,,,10,,2
Professional,,,,4,,6,7,8,,10,,4
Professional,,,3,,,6,,,,,,1
Professional,1,,,4,5,6,,8,,10,,4
Professional,,2,3,,,,,,,,,1
Professional,,,,4,,6,,,,10,,3
Professional,,,,4,,6,,8,,,,3
Professional,,,,,,6,,,,10,,2
Professional,1,2,,4,,6,7,8,,10,,5
Professional,,,,4,,6,,8,,10,,4
Professional,,,,,,6,,8,9,,,3
Professional,1,,,4,,,,8,9,10,,4
Professional,,,,4,,6,,8,,10,,4
Professional,1,2,3,4,5,,,,,10,,3
Professional,,,,,,6,,8,,,,2
Professional,,,,,,6,7,8,,,,2
Professional,1,2,3,4,5,6,7,8,,10,,5
Professional,,,,,,6,,8,9,,,3
Professional,,,,,,6,,8,,,,2
Professional,,,,,,6,7,,,10,,2
Professional,,,,,,,,8,,10,,2
Professional,1,,,4,,,,8,,,,2
Professional,,,,,,6,,8,,10,,3
Professional,,,,,,,,8,,10,,2
Professional,,,,4,,6,,8,9,10,,5
Professional,,,,,,,,8,,,,1
Professional,,,,,,,,8,,,,1
Professional,,,,4,,6,7,8,,,,3
Professional,1,,,4,,6,,8,,10,,4
Professional,1,,,4,,6,,8,,10,,4
Professional,,,,4,,6,,8,,10,,4
Professional,,,,,,,,8,,10,,2
Professional,1,,3,4,5,6,,8,,,,3
Professional,,,,,,,,,,10,,1
Professional,,,,,,,,,,,,0
Professional,,,,4,,,,,,,,1
Professional,1,2,,4,5,6,7,8,9,10,,6
Professional,,,,,,6,7,8,,,,2
Professional,,2,,4,,6,,8,,10,,5
Professional,,,,,,,,8,,10,,2
Professional,,,3,,,6,,8,,10,,3
Professional,,,,4,,6,,8,,10,,4
Professional,,,,4,,6,,,9,10,,4
Professional,1,2,3,4,,6,7,8,9,10,,6
Professional,,,,,,,,8,,,,1
Professional,1,,,,,6,7,,9,10,,3
Professional,,,,,,6,,8,,10,,3
Professional,,,,4,,6,,8,,10,,4
Professional,1,,,,,6,,8,,10,,3
Professional,1,,,4,,6,7,8,,10,,4
Professional,,,,,,,,,,,,0
Professional,1,,3,4,5,6,,8,,10,,4
Professional,1,2,,,5,6,,8,,10,,4
