Question,1,2,3,4,5,6,7,8,9,10,,correct.selected
Sophomores,0,0,0,0,1,1,0,1,0,0,,2
Sophomores,0,0,0,0,0,1,0,1,0,0,,2
Sophomores,1,1,0,1,0,1,1,1,1,1,,6
Sophomores,1,0,0,0,0,1,0,1,0,0,,2
Sophomores,1,1,0,1,0,1,0,1,1,0,,5
Sophomores,0,0,1,1,0,1,0,1,1,0,,4
Sophomores,0,0,0,1,0,1,0,1,0,1,,4
Sophomores,1,1,1,1,1,1,0,1,0,1,,5
Sophomores,0,1,0,1,0,1,0,1,1,1,,6
Sophomores,0,1,0,1,1,1,0,1,0,1,,5
Sophomores,0,0,0,1,0,1,1,1,0,0,,3
Sophomores,0,0,0,1,0,1,0,1,0,0,,3
Sophomores,0,0,0,1,0,1,0,1,0,0,,3
Sophomores,0,0,0,1,0,1,0,0,1,1,,4
Sophomores,0,0,0,1,0,1,0,1,0,1,,4
Sophomores,0,0,0,1,0,1,0,1,1,0,,4
Sophomores,0,0,0,1,0,1,0,1,0,1,,4
Sophomores,0,0,0,1,0,1,0,1,0,1,,4
Sophomores,1,0,0,1,0,1,0,1,0,1,,4
Sophomores,1,0,0,0,0,1,0,1,0,1,,3
Sophomores,0,0,0,0,0,1,0,1,1,0,,3
Sophomores,1,1,0,1,0,1,0,1,1,1,,6
Sophomores,0,0,0,1,0,1,0,1,1,1,,5
Sophomores,0,0,0,0,0,1,0,1,0,0,,2
Sophomores,1,1,1,1,1,1,0,1,1,1,,6
Sophomores,0,0,0,0,1,1,0,1,0,0,,2
Sophomores,0,0,0,1,0,1,0,1,0,0,,3
Sophomores,0,0,0,1,0,1,0,1,1,0,,4
Sophomores,1,0,0,1,0,1,0,1,0,0,,3
Sophomores,0,0,0,1,0,1,1,1,1,1,,5
Sophomores,0,0,0,0,1,1,0,1,0,1,,3
Sophomores,0,0,0,1,1,1,0,1,0,1,,4
Sophomores,1,1,0,1,0,1,0,1,0,0,,4
Sophomores,0,0,0,1,0,1,0,1,0,0,,3
Sophomores,0,0,0,1,0,1,1,1,0,0,,3
Sophomores,0,0,0,1,0,1,0,1,0,0,,3
Sophomores,0,0,0,1,0,1,0,1,0,1,,4
Sophomores,0,0,0,0,1,1,0,1,1,1,,4
Sophomores,0,1,0,1,0,1,0,1,1,1,,6
